Facility Name,Location Address,Location Address2,City,State,Zip Code,County,Region,Phone Number,Owner Name,Owner Type,Activity Desc,Activity Number,Active,East Coordinate,North Coordinate,Accuracy Code,Waste Types,Regulatory Status,Authorization Number,Authorization Issue Date,Expiration Date,Georeference
County Waste Transfer Corp. - Troy TS,799 Burden Ave,,Troy,NY,12180,Rensselaer,4,5182668990,County Waste Transfer Corp,Private,C&D processing - permit,[42W01],Yes,606743,4728753,,,Permit,4-3817-00111/00004,03/28/2018,03/27/2023,"799 Burden Ave
Troy, NY 12180
(42.703828, -73.696448)"
Dan's Hauling & Demo Inc,NY 9J,,East Greenbush,NY,12061,Rensselaer,4,5184389800,Dan Wolfe,Private,C&D processing - registration,[42W04],Yes,602852,4717523,,,Registration,,,,
T J Clement Construction Co Inc,24495 County Rd. 32,,Calcium,NY,13616,Jefferson,6,3154888811,Clement Enterprises,Private,C&D processing - registration,[23W03],Yes,429250,4874450,4.3 - Utilization of Digital Orthophoto Quads,Soil (Clean);Asphalt,Registration,23W03,07/20/2007,,
Clifton Recycling Inc,3400 Court Street,,Syracuse,NY,13206,Onondaga,7,3154631170,Clifton Recycling Inc,Private,CDDHRF - concrete rock brick - registration,[34C10015],Yes,408891,477051,,Concrete,,34C10015,07/10/2018,05/03/2023,"3400 Court Street
Syracuse, NY 13206
(43.081443, -76.119493)"
C.J. Krantz Inc. Organic Recycling Center,560 Smith Road,,Amherst,NY,14051,Erie,9,7166095999,Tim Krantz,Private,Composting - biosolids/other - permit,[15PP0061],Yes,197006,477363,4 - GIS Assisted,Yard Waste;Wood/Brush,Permit,,,,"560 Smith Road
Amherst, NY 14051
(43.05354, -78.720844)"
Bethlehem (T) Yard Waste Composting,1244 Feura Bush Road (NYS Rt 32),,Delmar,NY,12054,Albany,4,5184394955,Town of Bethlehem,,Composting - yard waste - permit,[01Y05],Yes,595182,4716405,1 - No accuracy stated,Yard Waste,Permit,4-0122-00115/00001,02/23/2012,02/28/2022,
Tonawanda HHW Storage Facility,Town Highway Garage,450 Woodward AVe,Kenmore,NY,14217,Erie,9,,Town of Tonawanda Highway Department,Municipal,Household hazardous waste,[15Z01],Yes,182365,4765229,,,Permit,9-1464-00211/00003,02/04/2008,02/03/2018,
LeBarron Farm,CR 42 & 197,,Fort Edward,NY,12832,Washington,5,5187963988,New England Waste Services of ME; Inc. DBA Casella Organics,,Land application - UFPW - registration,[58A30002],Yes,618696,4791395,,Sludge (Papermill),Registration,58A30002,06/21/2018,04/23/2023,
Rock Stream Vineyards; LLC,378 Allen Road,,Rock Stream,NY,14878,Yates,8,6072435395,Mark Karasz,,Land application - UFPW - registration,[62A30009],Yes,628629,4682043,1 - No accuracy stated,Food Scraps,,62A30009,08/30/2019,08/29/2024,"378 Allen Road
Rock Stream, NY 14878
(42.480557, -76.939669)"
Bovee Excavating,323 County Road 113,,Northville,NY,12134,Fulton,5,5188634521,Mr. Kim Bovee,Private,Landfill - land clearing debris,[18D06],Yes,569400,4784608,,Land Clearing Debris,Registration,18D06,03/09/2005,,
Greig Land Clearing Landfill,Brantingham Road,P.O. Box 314,Brantingham,NY,13312,Lewis,6,3153485554,Town of Greig,Municipal,Landfill - land clearing debris,[25D02],Yes,476457,4837337,4.1 - Address Matching,,Registration,25D02,04/21/2000,,
Morin LCD Landfill,Oven Mountain Road,,North Creek,NY,12853,Warren,5,5182513595,Leon P Morin,Private,Landfill - land clearing debris,[57D14],Yes,582675,4831902,,Land Clearing Debris,Registration,57D14,04/02/2004,,
Van Voorhis Farm; Inc,432 Fishers Road,,Victor,NY,14453,Ontario,8,5859245506,Jack Van Voorhis,Private,Landfill - land clearing debris,[35D12],Yes,298350,4765250,2 - Manual Measurements,Land Clearing Debris,Registration,,,,
Green Ridge RDF,424 Peters Road,,Gansevoort,NY,12831,Saratoga,5,5186362141,Finch Waste Co LLC,Private,Landfill - MSW - permit,[46S27],Yes,613263,4784286,,,Permit,5-4146-00018/00010,10/06/2016,10/05/2021,"424 Peters Road
Gansevoort, NY 12831
(43.190283, -73.588493)"
Cardinal Health 414; LLC,25 Fairfield Ave,Bldg. 25; #100,Plainview,NY,11803,Nassau,1,5163498001,Cardinal Health 414; LLC,Private,Regulated medical waste - radiopharmacy,[30X08],Yes,629404,4517328,,,Permit,1-2824-02219/00002,10/27/2015,10/26/2020,
