,Facility_ID,facility_name,f_lng,f_lat,Facility_Type,Material,Year,SA_address,Tonnage,Direction,Destiny,SA_lat,SA_lng
0,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2020,"Hempstead, NY, USA",2720,Incoming,Unknown,40.6450219,-73.6339087
1,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2020,"Long Beach, NY, USA",2720,Incoming,Unknown,40.5884373,-73.657908
2,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Masonry,2020,"Hempstead, NY, USA",40,Incoming,Unknown,40.6450219,-73.6339087
3,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Masonry,2020,"Long Beach, NY, USA",40,Incoming,Unknown,40.5884373,-73.657908
4,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Asphalt and Road Material,2020,"Hempstead, NY, USA",528,Incoming,Unknown,40.6450219,-73.6339087
5,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Asphalt and Road Material,2020,"Long Beach, NY, USA",528,Incoming,Unknown,40.5884373,-73.657908
6,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Sand,2020,"Hempstead, NY, USA",105,Incoming,Unknown,40.6450219,-73.6339087
7,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Sand,2020,"Long Beach, NY, USA",105,Incoming,Unknown,40.5884373,-73.657908
8,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2019,"Long Beach, NY, USA",1848,Outgoing,Recycled,40.5884373,-73.657908
9,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2019,"1 College Pl, Rockville Centre, NY 11570, USA",1848,Outgoing,Recycled,40.659487,-73.6454899
10,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2019,"Valley Stream, NY, USA",1848,Outgoing,Recycled,40.6642699,-73.7084645
11,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2020,"Long Beach, NY, USA",1620,Outgoing,Recycled,40.5884373,-73.657908
12,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2020,"1 College Pl, Rockville Centre, NY 11570, USA",1620,Outgoing,Recycled,40.659487,-73.6454899
13,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Concrete,2019,"Suffolk County, NY, USA",4670,Incoming,Unknown,40.9848784,-72.6151169
14,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Masonry,2019,"Suffolk County, NY, USA",1120,Incoming,Unknown,40.9848784,-72.6151169
