,Facility ID,Facility Name,f_lng,f_lat,Facility Type,Material,Year,Service Area Address,Service Area Coordinates,Tonnage,Direction,Destiny,Facility Region,SA_lat,SA_lng
0,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2020,"Hempstead, NY, USA","[40.6450219, -73.63390869999999]",2720,Incoming,Not Applicable,1,40.6450219,-73.6339087
1,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2020,"Long Beach, NY, USA","[40.5884373, -73.65790799999999]",2720,Incoming,Not Applicable,1,40.5884373,-73.657908
2,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Masonry,2020,"Hempstead, NY, USA","[40.6450219, -73.63390869999999]",40,Incoming,Not Applicable,1,40.6450219,-73.6339087
3,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Masonry,2020,"Long Beach, NY, USA","[40.5884373, -73.65790799999999]",40,Incoming,Not Applicable,1,40.5884373,-73.657908
4,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Asphalt and Road Material,2020,"Hempstead, NY, USA","[40.6450219, -73.63390869999999]",528,Incoming,Not Applicable,1,40.6450219,-73.6339087
5,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Asphalt and Road Material,2020,"Long Beach, NY, USA","[40.5884373, -73.65790799999999]",528,Incoming,Not Applicable,1,40.5884373,-73.657908
6,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Sand,2020,"Hempstead, NY, USA","[40.6450219, -73.63390869999999]",105,Incoming,Not Applicable,1,40.6450219,-73.6339087
7,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Sand,2020,"Long Beach, NY, USA","[40.5884373, -73.65790799999999]",105,Incoming,Not Applicable,1,40.5884373,-73.657908
8,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2019,"Long Beach, NY, USA","[40.5884373, -73.65790799999999]",1848,Outgoing,Recycled,1,40.5884373,-73.657908
9,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2019,"1 College Pl, Rockville Centre, NY 11570, USA","[40.659487, -73.6454899]",1848,Outgoing,Recycled,1,40.659487,-73.6454899
10,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2019,"Valley Stream, NY, USA","[40.6642699, -73.70846449999999]",1848,Outgoing,Recycled,1,40.6642699,-73.7084645
11,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2020,"Long Beach, NY, USA","[40.5884373, -73.65790799999999]",1620,Outgoing,Recycled,1,40.5884373,-73.657908
12,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2020,"1 College Pl, Rockville Centre, NY 11570, USA","[40.659487, -73.6454899]",1620,Outgoing,Recycled,1,40.659487,-73.6454899
13,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Concrete,2019,"Suffolk County, NY, USA","[40.9848784, -72.61511689999999]",4670,Incoming,Not Applicable,1,40.9848784,-72.6151169
14,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Masonry,2019,"Suffolk County, NY, USA","[40.9848784, -72.61511689999999]",1120,Incoming,Not Applicable,1,40.9848784,-72.6151169
15,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Asphalt and Road Material,2019,"Suffolk County, NY, USA","[40.9848784, -72.61511689999999]",830,Incoming,Not Applicable,1,40.9848784,-72.6151169
16,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Soil,2019,"Suffolk County, NY, USA","[40.9848784, -72.61511689999999]",14290,Incoming,Not Applicable,1,40.9848784,-72.6151169
17,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Sand,2019,"Babylon, NY, USA","[40.71071269999999, -73.36731689999999]",850,Incoming,Not Applicable,1,40.7107127,-73.3673169
18,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Metals,2019,"125 Hopper St, Westbury, NY 11590, USA","[40.7574934, -73.5661563]",54,Outgoing,Recycled,1,40.7574934,-73.5661563
19,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Residue,2019,"1 Jem Court, Bay Shore, NY 11706, USA","[40.76797800000001, -73.2851079]",73,Outgoing,Transferred,1,40.767978,-73.2851079
20,[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Metals,2019,"125 Hopper St, Westbury, NY 11590, USA","[40.7574934, -73.5661563]",54,Outgoing,Recycled,1,40.7574934,-73.5661563
21,[52W18],Bistrian Gravel Corp,-72.17327805,40.98421753,Transfer Facility,Concrete,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",3184.26,Incoming,Not Applicable,1,41.083151,-71.9994067
22,[52W18],Bistrian Gravel Corp,-72.17327805,40.98421753,Transfer Facility,Concrete,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",3184.26,Outgoing,Recycled,1,41.083151,-71.9994067
23,[52W18],Bistrian Gravel Corp,-72.17327805,40.98421753,Transfer Facility,Concrete,2019,"225 Springs Fireplace Rd, East Hampton, NY 11937, USA","[40.986658, -72.177061]",3184.26,Outgoing,Recycled,1,40.986658,-72.177061
24,[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Asphalt and Road Material,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",1833.02,Incoming,Not Applicable,1,41.083151,-71.9994067
25,[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Concrete,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",10771.93,Incoming,Not Applicable,1,41.083151,-71.9994067
26,[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Soil,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",13988.28,Incoming,Not Applicable,1,41.083151,-71.9994067
27,[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Yard Waste,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",26183.08,Incoming,Not Applicable,1,41.083151,-71.9994067
28,[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Asphalt and Road Material,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",31.88,Incoming,Not Applicable,1,41.083151,-71.9994067
29,[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Concrete,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",328.15,Incoming,Not Applicable,1,41.083151,-71.9994067
30,[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Soil,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",1809.75,Incoming,Not Applicable,1,41.083151,-71.9994067
31,[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Yard Waste,2019,"East Hampton, NY, USA","[41.083151, -71.9994067]",2210,Incoming,Not Applicable,1,41.083151,-71.9994067
32,[52W129R],Bistrian Materials Inc (Montauk),-71.9568115,41.04330501,Transfer Facility,Asphalt and Road Material,2019,"86 Industrial Rd, Montauk, NY 11954, USA","[41.041796, -71.9605144]",43.5,Outgoing,Recycled,1,41.041796,-71.9605144
