,Facility Name,Region,Activity Number,Year,Material,January (tons),February (tons),March (tons),April (tons),May (tons),June (tons),July (tons),August (tons),September (tons),October (tons),November (tons),December (tons),Total Year (tons),Tip fees,Facility Type
0,A.I.I. Allen Industries Inc (Oceanside Yard),1.0,[30W49R],2020.0,Concrete,128.0,32.0,288.0,256.0,288.0,224.0,320.0,96.0,192.0,480.0,192.0,224.0,2720.0,NR,Transfer Facility
1,A.I.I. Allen Industries Inc (Oceanside Yard),1.0,[30W49R],2020.0,Masonry,4.0,0.0,4.0,0.0,0.0,8.0,4.0,4.0,8.0,8.0,0.0,0.0,40.0,NR,Transfer Facility
2,A.I.I. Allen Industries Inc (Oceanside Yard),1.0,[30W49R],2020.0,Asphalt and Road Material,32.0,16.0,64.0,32.0,96.0,16.0,32.0,32.0,64.0,96.0,16.0,32.0,528.0,NR,Transfer Facility
3,A.I.I. Allen Industries Inc (Oceanside Yard),1.0,[30W49R],2020.0,Sand,0.0,0.0,21.0,42.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,NR,Transfer Facility
4,Belli Contracting Company Inc,1.0,[52W81R],2019.0,Concrete,70.0,20.0,160.0,475.0,850.0,1020.0,600.0,230.0,490.0,365.0,300.0,90.0,4670.0,7.0,Transfer Facility
5,Bistrian Gravel Corp,1.0,[52W18],2019.0,Concrete,291.54,280.79,329.27,218.55,297.78,268.21,214.74,169.21,189.76,213.6,361.31,349.5,3184.26,NR,Transfer Facility
6,Bistrian Materials Inc,1.0,[52W129R],2019.0,Asphalt and Road Material,139.13,77.25,9.0,250.5,163.5,252.0,69.38,44.25,158.63,149.63,308.25,211.5,1833.02,NR,Transfer Facility
7,Bistrian Materials Inc,1.0,[52W129R],2019.0,Concrete,827.63,325.88,1126.13,1112.63,1004.63,1840.13,586.88,637.88,648.38,628.13,1365.0,668.63,10771.93,NR,Transfer Facility
8,Bistrian Materials Inc,1.0,[52W129R],2019.0,Soil,971.63,326.25,2341.88,1893.75,712.88,1924.5,439.5,879.38,1398.38,1575.0,934.13,591.0,13988.28,NR,Transfer Facility
9,Bistrian Materials Inc,1.0,[52W129R],2019.0,Yard Waste,1622.5,865.0,1319.83,1952.25,2236.0,2315.5,2399.5,2727.5,2542.25,2629.75,3158.75,2414.25,26183.08,NR,Transfer Facility
10,Bistrian Materials Inc,1.0,[52W129R],2019.0,Asphalt and Road Material,0.0,3.75,0.75,8.25,0.0,4.5,0.0,0.0,5.25,0.0,7.5,1.88,31.88,NR,Transfer Facility
11,Bistrian Materials Inc,1.0,[52W129R],2019.0,Concrete,24.75,3.0,17.63,26.25,23.25,26.25,28.13,42.38,22.13,67.5,26.25,20.63,328.15,NR,Transfer Facility
12,Bistrian Materials Inc,1.0,[52W129R],2019.0,Soil,118.5,21.0,84.75,39.75,87.0,126.75,195.0,123.75,799.5,63.75,134.25,15.75,1809.75,NR,Transfer Facility
13,Bistrian Materials Inc,1.0,[52W129R],2019.0,Yard Waste,163.25,31.5,161.25,127.0,135.75,322.5,179.0,235.5,265.75,217.75,136.25,234.5,2210.0,NR,Transfer Facility
14,Bodkin Excavating Inc,1.0,[52W155R],2019.0,Concrete,22.0,0.0,9.0,30.0,0.0,0.0,52.0,30.0,47.0,18.0,0.0,0.0,208.0,NR,Transfer Facility
15,Bodkin Excavating Inc,1.0,[52W155R],2019.0,Asphalt and Road Material,0.0,0.0,0.0,14.0,0.0,0.0,12.0,8.0,0.0,0.0,8.0,0.0,42.0,NR,Transfer Facility
16,Brookhaven Waste Management Facility,1.0,[52W131R],2019.0,General C&D Debris,552.36,486.25,649.08,802.43,1198.93,838.74,873.94,871.48,819.0,836.1,779.27,655.19,9362.77,85.0,Transfer Facility
17,Cardo Site Development Storage Yard,1.0,[52C10272],2020.0,Concrete,443.0,157.0,555.0,477.0,534.0,60.0,120.0,105.0,180.0,756.0,397.0,417.0,4201.0,NR,Transfer Facility
