,Facility ID,Facility Name,Facility Long,Facility Lat,Facility Type,Material,Year,Service Area Address,Service Area Coordinates,Amount/tons,Direction,Destiny,Facility Region
0,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Concrete,2020.0,"Hempstead, NY, USA","(40.6450219, -73.63390869999999)",2720.0,Incoming,,1
1,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Concrete,2020.0,"Long Beach, NY, USA","(40.5884373, -73.65790799999999)",2720.0,Incoming,,1
2,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Masonry,2020.0,"Hempstead, NY, USA","(40.6450219, -73.63390869999999)",40.0,Incoming,,1
3,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Masonry,2020.0,"Long Beach, NY, USA","(40.5884373, -73.65790799999999)",40.0,Incoming,,1
4,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Asphalt and Road Material,2020.0,"Hempstead, NY, USA","(40.6450219, -73.63390869999999)",528.0,Incoming,,1
5,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Asphalt and Road Material,2020.0,"Long Beach, NY, USA","(40.5884373, -73.65790799999999)",528.0,Incoming,,1
6,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Sand,2020.0,"Hempstead, NY, USA","(40.6450219, -73.63390869999999)",105.0,Incoming,,1
7,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Sand,2020.0,"Long Beach, NY, USA","(40.5884373, -73.65790799999999)",105.0,Incoming,,1
8,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Concrete,2019.0,"Long Beach, NY, USA","(40.5884373, -73.65790799999999)",1848.0,Outgoing,Recycled,1
9,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Concrete,2019.0,"1 College Pl, Rockville Centre, NY 11570, USA","(40.659487, -73.6454899)",1848.0,Outgoing,Recycled,1
10,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Concrete,2019.0,"Valley Stream, NY, USA","(40.6642699, -73.70846449999999)",1848.0,Outgoing,Recycled,1
11,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Concrete,2020.0,"Long Beach, NY, USA","(40.5884373, -73.65790799999999)",1620.0,Outgoing,Recycled,1
12,[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.654088321735,40.622617396239626,Transfer Facility,Concrete,2020.0,"1 College Pl, Rockville Centre, NY 11570, USA","(40.659487, -73.6454899)",1620.0,Outgoing,Recycled,1
13,[52W81R],Belli Contracting Company Inc,-73.28252620770692,40.80143542684862,Transfer Facility,Concrete,2019.0,"Suffolk County, NY, USA","(40.9848784, -72.61511689999999)",4670.0,Incoming,,1
14,[52W81R],Belli Contracting Company Inc,-73.28252620770692,40.80143542684862,Transfer Facility,Masonry,2019.0,"Suffolk County, NY, USA","(40.9848784, -72.61511689999999)",1120.0,Incoming,,1
15,[52W81R],Belli Contracting Company Inc,-73.28252620770692,40.80143542684862,Transfer Facility,Asphalt and Road Material,2019.0,"Suffolk County, NY, USA","(40.9848784, -72.61511689999999)",830.0,Incoming,,1
16,[52W81R],Belli Contracting Company Inc,-73.28252620770692,40.80143542684862,Transfer Facility,Soil,2019.0,"Suffolk County, NY, USA","(40.9848784, -72.61511689999999)",14290.0,Incoming,,1
17,[52W81R],Belli Contracting Company Inc,-73.28252620770692,40.80143542684862,Transfer Facility,Sand,2019.0,"Babylon, NY, USA","(40.71071269999999, -73.36731689999999)",850.0,Incoming,,1
18,[52W81R],Belli Contracting Company Inc,-73.28252620770692,40.80143542684862,Transfer Facility,Metals,2019.0,"125 Hopper St, Westbury, NY 11590, USA","(40.7574934, -73.5661563)",54.0,Outgoing,Recycled,1
19,[52W81R],Belli Contracting Company Inc,-73.28252620770692,40.80143542684862,Transfer Facility,Residue,2019.0,"1 Jem Court, Bay Shore, NY 11706, USA","(40.76797800000001, -73.2851079)",73.0,Outgoing,Transferred,1
20,[52W81R],Belli Contracting Company Inc,-73.28252620770692,40.80143542684862,Transfer Facility,Metals,2019.0,"125 Hopper St, Westbury, NY 11590, USA","(40.7574934, -73.5661563)",54.0,Outgoing,Recycled,1
21,[52W18],Bistrian Gravel Corp,-72.17327804694182,40.98421752942746,Transfer Facility,Concrete,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",3184.26,Incoming,,1
22,[52W18],Bistrian Gravel Corp,-72.17327804694182,40.98421752942746,Transfer Facility,Concrete,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",3184.26,Outgoing,Recycled,1
23,[52W18],Bistrian Gravel Corp,-72.17327804694182,40.98421752942746,Transfer Facility,Concrete,2019.0,"225 Springs Fireplace Rd, East Hampton, NY 11937, USA","(40.986658, -72.177061)",3184.26,Outgoing,Recycled,1
24,[52W129R],Bistrian Materials Inc,-71.95681149812664,41.0433050128696,Transfer Facility,Asphalt and Road Material,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",1833.02,Incoming,,1
25,[52W129R],Bistrian Materials Inc,-71.95681149812664,41.0433050128696,Transfer Facility,Concrete,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",10771.93,Incoming,,1
26,[52W129R],Bistrian Materials Inc,-71.95681149812664,41.0433050128696,Transfer Facility,Soil,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",13988.28,Incoming,,1
27,[52W129R],Bistrian Materials Inc,-71.95681149812664,41.0433050128696,Transfer Facility,Yard Waste,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",26183.08,Incoming,,1
28,[52W129R],Bistrian Materials Inc,-71.95681149812664,41.0433050128696,Transfer Facility,Asphalt and Road Material,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",31.88,Incoming,,1
29,[52W129R],Bistrian Materials Inc,-71.95681149812664,41.0433050128696,Transfer Facility,Concrete,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",328.15,Incoming,,1
30,[52W129R],Bistrian Materials Inc,-71.95681149812664,41.0433050128696,Transfer Facility,Soil,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",1809.75,Incoming,,1
31,[52W129R],Bistrian Materials Inc,-71.95681149812664,41.0433050128696,Transfer Facility,Yard Waste,2019.0,"East Hampton, NY, USA","(41.083151, -71.9994067)",2210.0,Incoming,,1
32,[52W129R],Bistrian Materials Inc (Montauk),-71.95681149812664,41.0433050128696,Transfer Facility,Asphalt and Road Material,2019.0,"86 Industrial Rd, Montauk, NY 11954, USA","(41.041796, -71.9605144)",43.5,Outgoing,Recycled,1
33,[52W129R],Bistrian Materials Inc (Montauk),-71.95681149812664,41.0433050128696,Transfer Facility,Concrete,2019.0,"86 Industrial Rd, Montauk, NY 11954, USA","(41.041796, -71.9605144)",727.5,Outgoing,Recycled,1
34,[52W129R],Bistrian Materials Inc (Montauk),-71.95681149812664,41.0433050128696,Transfer Facility,Soil,2019.0,"86 Industrial Rd, Montauk, NY 11954, USA","(41.041796, -71.9605144)",1719.0,Outgoing,Recycled,1
35,[52W129R],Bistrian Materials Inc (Montauk),-71.95681149812664,41.0433050128696,Transfer Facility,Yard Waste,2019.0,"86 Industrial Rd, Montauk, NY 11954, USA","(41.041796, -71.9605144)",592.3,Outgoing,Recycled,1
36,[52W155R],Bodkin Excavating Inc,-72.93851134931413,40.77468609668712,Transfer Facility,Concrete,2019.0,"Suffolk County, NY, USA","(40.9848784, -72.61511689999999)",208.0,Incoming,,1
37,[52W155R],Bodkin Excavating Inc,-72.93851134931413,40.77468609668712,Transfer Facility,Asphalt and Road Material,2019.0,"Suffolk County, NY, USA","(40.9848784, -72.61511689999999)",42.0,Incoming,,1
38,[52W155R],Bodkin Excavating Inc,-72.93851134931413,40.77468609668712,Transfer Facility,Concrete,2019.0,"Lake Grove, NY, USA","(40.8528761, -73.1151102)",194.0,Outgoing,Recycled,1
39,[52W131R],Brookhaven Waste Management Facility,-72.93047680248063,40.79532300220542,Transfer Facility,General C&D Debris,2019.0,"Brookhaven, NY, USA","(40.8273786, -72.995048)",9362.77,Incoming,,1
40,[52W131R],Brookhaven Waste Management Facility,-72.93047680248063,40.79532300220542,Transfer Facility,Concrete,2019.0,"350 Horseblock Road, Brookhaven, NY 11719, USA","(40.80071119999999, -72.92322039999999)",12508.18,Outgoing,Recycled,1
