Facility_ID,facility_name,f_lng,f_lat,Facility_Type,Material,Year,SA_address,Tonnage,Direction,Destiny,SA_lat,SA_lng
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2020,"Hempstead, NY, USA",2720,Incoming,,40.6450219,-73.6339087
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Concrete,2020,"Long Beach, NY, USA",2720,Incoming,,40.5884373,-73.657908
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Masonry,2020,"Hempstead, NY, USA",40,Incoming,,40.6450219,-73.6339087
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Masonry,2020,"Long Beach, NY, USA",40,Incoming,,40.5884373,-73.657908
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Asphalt and Road Material,2020,"Hempstead, NY, USA",528,Incoming,,40.6450219,-73.6339087
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Asphalt and Road Material,2020,"Long Beach, NY, USA",528,Incoming,,40.5884373,-73.657908
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Sand,2020,"Hempstead, NY, USA",105,Incoming,,40.6450219,-73.6339087
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Sand,2020,"Long Beach, NY, USA",105,Incoming,,40.5884373,-73.657908
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2019,"Long Beach, NY, USA",1848,Outgoing,Recycled,40.5884373,-73.657908
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2019,"1 College Pl, Rockville Centre, NY 11570, USA",1848,Outgoing,Recycled,40.659487,-73.6454899
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2019,"Valley Stream, NY, USA",1848,Outgoing,Recycled,40.6642699,-73.7084645
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2020,"Long Beach, NY, USA",1620,Outgoing,Recycled,40.5884373,-73.657908
[30W49R],A.I.I. Allen Industries Inc (Oceanside Yard),-73.65408832,40.6226174,Transfer Facility,Recycled Concrete Aggregate,2020,"1 College Pl, Rockville Centre, NY 11570, USA",1620,Outgoing,Recycled,40.659487,-73.6454899
[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Concrete,2019,"Suffolk County, NY, USA",4670,Incoming,,40.9848784,-72.6151169
[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Masonry,2019,"Suffolk County, NY, USA",1120,Incoming,,40.9848784,-72.6151169
[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Asphalt and Road Material,2019,"Suffolk County, NY, USA",830,Incoming,,40.9848784,-72.6151169
[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Soil,2019,"Suffolk County, NY, USA",14290,Incoming,,40.9848784,-72.6151169
[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Sand,2019,"Babylon, NY, USA",850,Incoming,,40.7107127,-73.3673169
[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Bulk Metal (from C&D Debris),2019,"125 Hopper St, Westbury, NY 11590, USA",54,Outgoing,Recycled,40.7574934,-73.5661563
[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Residue,2019,"1 Jem Court, Bay Shore, NY 11706, USA",73,Outgoing,Transferred,40.767978,-73.2851079
[52W81R],Belli Contracting Company Inc,-73.28252621,40.80143543,Transfer Facility,Bulk Metal (from C&D Debris),2019,"125 Hopper St, Westbury, NY 11590, USA",54,Outgoing,Recycled,40.7574934,-73.5661563
[52W18],Bistrian Gravel Corp,-72.17327805,40.98421753,Transfer Facility,Concrete,2019,"East Hampton, NY, USA",3184.26,Incoming,,41.083151,-71.9994067
[52W18],Bistrian Gravel Corp,-72.17327805,40.98421753,Transfer Facility,Concrete Blend,2019,"East Hampton, NY, USA",3184.26,Outgoing,Recycled,41.083151,-71.9994067
[52W18],Bistrian Gravel Corp,-72.17327805,40.98421753,Transfer Facility,Concrete Blend,2019,"225 Springs Fireplace Rd, East Hampton, NY 11937, USA",3184.26,Outgoing,Recycled,40.986658,-72.177061
[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Asphalt and Road Material,2019,"East Hampton, NY, USA",1833.02,Incoming,,41.083151,-71.9994067
[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Concrete,2019,"East Hampton, NY, USA",10771.93,Incoming,,41.083151,-71.9994067
[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Soil,2019,"East Hampton, NY, USA",13988.28,Incoming,,41.083151,-71.9994067
[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Yard Waste,2019,"East Hampton, NY, USA",26183.08,Incoming,,41.083151,-71.9994067
[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Asphalt and Road Material,2019,"East Hampton, NY, USA",31.88,Incoming,,41.083151,-71.9994067
[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Concrete,2019,"East Hampton, NY, USA",328.15,Incoming,,41.083151,-71.9994067
[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Soil,2019,"East Hampton, NY, USA",1809.75,Incoming,,41.083151,-71.9994067
[52W129R],Bistrian Materials Inc,-71.9568115,41.04330501,Transfer Facility,Yard Waste,2019,"East Hampton, NY, USA",2210,Incoming,,41.083151,-71.9994067
[52W129R],Bistrian Materials Inc (Montauk),-71.9568115,41.04330501,Transfer Facility,Asphalt Pavement,2019,"86 Industrial Rd, Montauk, NY 11954, USA",43.5,Outgoing,Recycled,41.041796,-71.9605144
[52W129R],Bistrian Materials Inc (Montauk),-71.9568115,41.04330501,Transfer Facility,Concrete,2019,"86 Industrial Rd, Montauk, NY 11954, USA",727.5,Outgoing,Recycled,41.041796,-71.9605144
[52W129R],Bistrian Materials Inc (Montauk),-71.9568115,41.04330501,Transfer Facility,Soil,2019,"86 Industrial Rd, Montauk, NY 11954, USA",1719,Outgoing,Recycled,41.041796,-71.9605144
[52W129R],Bistrian Materials Inc (Montauk),-71.9568115,41.04330501,Transfer Facility,Mulch,2019,"86 Industrial Rd, Montauk, NY 11954, USA",592.3,Outgoing,Recycled,41.041796,-71.9605144
[52W155R],Bodkin Excavating Inc,-72.93851135,40.7746861,Transfer Facility,Concrete,2019,"Suffolk County, NY, USA",208,Incoming,,40.9848784,-72.6151169
[52W155R],Bodkin Excavating Inc,-72.93851135,40.7746861,Transfer Facility,Asphalt and Road Material,2019,"Suffolk County, NY, USA",42,Incoming,,40.9848784,-72.6151169
[52W155R],Bodkin Excavating Inc,-72.93851135,40.7746861,Transfer Facility,Concrete,2019,"Lake Grove, NY, USA",194,Outgoing,Recycled,40.8528761,-73.1151102
[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,General C&D Debris,2019,"Brookhaven, NY, USA",9362.77,Incoming,,40.8273786,-72.995048
[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,Concrete,2019,"350 Horseblock Road, Brookhaven, NY 11719, USA",12508.18,Outgoing,Recycled,40.8007112,-72.9232204
[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,Scrap Metal,2019,"71 Peconic Ave, Medford, NY 11763, USA",6,Outgoing,Disposed,40.8177235,-72.9748653
[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,Construction & Demolition (C&D) Debris,2019,"350 Horseblock Road, Brookhaven, NY 11719, USA",9312.77,Outgoing,Disposed,40.8007112,-72.9232204
[52W131R],Brookhaven Waste Management Facility,-72.9304768,40.795323,Transfer Facility,Bulk Metal (from C&D Debris),2019,"71 Peconic Ave, Medford, NY 11763, USA",50,Outgoing,Recycled,40.8177235,-72.9748653
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"Southampton, NY, USA",4201,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"East Hampton, NY, USA",4201,Incoming,,41.083151,-71.9994067
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2020,"Riverhead, NY 11901, USA",4201,Incoming,,40.9170435,-72.6620402
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Asphalt and Road Material,2020,"Southampton, NY, USA",859,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"Southampton, NY, USA",2438,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"East Hampton, NY, USA",2438,Incoming,,41.083151,-71.9994067
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"Riverhead, NY 11901, USA",2438,Incoming,,40.9170435,-72.6620402
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"Southampton, NY, USA",6890,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"East Hampton, NY, USA",6890,Incoming,,41.083151,-71.9994067
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"Riverhead, NY 11901, USA",6890,Incoming,,40.9170435,-72.6620402
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2020,"Southampton, NY, USA",7603,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2020,"Riverhead, NY 11901, USA",7603,Incoming,,40.9170435,-72.6620402
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2020,"Brookhaven, NY, USA",7603,Incoming,,40.8273786,-72.995048
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2020,"Southampton, NY, USA",2561,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2020,"East Hampton, NY, USA",2561,Incoming,,41.083151,-71.9994067
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2020,"Riverhead, NY 11901, USA",2561,Incoming,,40.9170435,-72.6620402
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2019,"Southampton, NY, USA",2400,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Concrete,2019,"Riverhead, NY 11901, USA",2400,Incoming,,40.9170435,-72.6620402
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Masonry,2019,"Southampton, NY, USA",540,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Masonry,2019,"Riverhead, NY 11901, USA",540,Incoming,,40.9170435,-72.6620402
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Masonry,2019,"Southampton, NY, USA",60,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Asphalt and Road Material,2019,"Southampton, NY, USA",720,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2019,"Southampton, NY, USA",1200,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2019,"Southampton, NY, USA",1200,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Fill,2019,"Southampton, NY, USA",12000,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Yard Waste,2019,"Southampton, NY, USA",600,Incoming,,40.8598637,-72.5678012
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",4435,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",4435,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",4435,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",7570,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",7570,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",7570,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,General Fill,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",10490,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,General Fill,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",10490,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,RCA,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",4430,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,RCA,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",4430,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,RCA,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",4430,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Mulch,2020,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",1750,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",1200,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Soil,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",1200,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",1200,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Sand,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",1200,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,General Fill,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",12000,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,General Fill,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",12000,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,RCA,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",3720,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,RCA,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",3720,Outgoing,Recycled,36.1270711,-79.860718
[52C10272],Cardo Site Development Storage Yard,-72.60757085,40.83714019,Transfer Facility,Mulch,2019,"1941 New Garden Rd #2555, Greensboro, NC 27410, USA",600,Outgoing,Recycled,36.1270711,-79.860718
[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Soil,2019,"Babylon, NY, USA",4094,Incoming,,40.7107127,-73.3673169
[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,Sand,2019,"Babylon, NY, USA",8300,Incoming,,40.7107127,-73.3673169
[52W86R],CB Recycling,-73.39259441,40.72906537,Transfer Facility,"Rock, Stone, and Gravel",2019,"Babylon, NY, USA",14,Incoming,,40.7107127,-73.3673169
